"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: charsetName","Param: size"
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space","avgt",1,5,0.004496,0.009386,"MB/sec",UTF-8,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000252,0.000619,"B/op",UTF-8,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.count","avgt",1,5,499.000000,NaN,"counts",UTF-8,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.time","avgt",1,5,45.000000,NaN,"ms",UTF-8,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes","avgt",1,5,285.590238,75.077635,"ns/op",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate","avgt",1,5,4533.208714,1086.554305,"MB/sec",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate.norm","avgt",1,5,2040.000118,0.000030,"B/op",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space","avgt",1,5,4537.102445,1115.111312,"MB/sec",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space.norm","avgt",1,5,2041.595828,32.873706,"B/op",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space","avgt",1,5,0.004520,0.009345,"MB/sec",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space.norm","avgt",1,5,0.002094,0.005003,"B/op",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.count","avgt",1,5,513.000000,NaN,"counts",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.time","avgt",1,5,44.000000,NaN,"ms",UTF-8,2000
